CO(GT),NO2(GT),PT08.S2(NMHC),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO Class
0.6,104,802,1474,952,12.2,67.7,0.9625,0
0.7,131,664,1381,808,13.2,61.7,0.9328,0
1.2,112,653,1375,779,10.9,71,0.9249,1
1.5,100,585,1319,717,11.3,67.6,0.9038,1
1.8,115,694,1421,779,10.1,71.8,0.888,1
2.1,129,929,1599,1009,10.2,70.9,0.8841,2
1.9,99,1480,2249,1595,11.8,66,0.9085,1
2,74,1776,2684,1940,14,58.2,0.9271,1
1.3,55,1296,1991,1628,17,50.2,0.9646,1
1.3,35,1212,1854,1573,22.3,36.9,0.9838,1
1.8,37,1016,1642,1187,24.4,30.9,0.934,1
2,45,1000,1561,900,25.9,26.7,0.8771,1
1.8,46,998,1574,800,25.8,26.1,0.854,1
2.4,68,964,1513,770,26.3,24.8,0.8393,2
4,77,953,1483,758,27,22.2,0.7805,2
2.8,79,1075,1558,886,27.3,20.5,0.7308,2
2,72,1291,1838,1219,25.8,24.1,0.7912,1
3.6,68,1608,2271,1725,25.3,28.9,0.9151,2
3.7,64,1633,2328,1745,23.8,33.7,0.9786,2
2.3,73,1455,2073,1600,21.4,36,0.9059,2
1.8,84,1193,1737,1310,19.8,39.5,0.9016,1
0.9,67,1000,1573,1208,19.2,42.1,0.9273,0
1.6,106,863,1492,1074,18.8,45.8,0.9855,1
0.6,114,828,1469,993,17.1,50.8,0.9828,0
0.7,123,741,1420,923,16.2,53.4,0.9775,0
0.8,108,654,1377,819,16,53.5,0.9691,0
1.2,100,597,1341,727,14.3,59.2,0.9601,1
1.4,118,565,1316,694,13.3,62.6,0.9498,1
1.6,121,596,1335,727,13.4,59.5,0.9097,1
1.3,94,800,1474,926,12.2,64.1,0.9062,1
1.3,52,1109,1729,1194,13.9,57.2,0.9029,1
1.1,39,1340,2003,1502,15.2,53.2,0.9107,1
1.2,33,1458,2186,1743,19.2,41.6,0.9154,1
1.5,57,1299,1945,1542,23.7,30.6,0.8854,1
1.1,80,1162,1731,1354,26.1,26.8,0.8921,1
1.9,101,1102,1682,1175,28.1,24.4,0.9138,1
2.3,109,1020,1585,916,28.3,23.9,0.906,2
3.3,109,1055,1562,818,28,21,0.7814,2
2.6,111,1225,1676,1028,30.8,16.4,0.7167,2
2.2,102,1270,1739,1113,31.3,16.2,0.7262,2
2.3,96,1482,2025,1431,29.4,20.5,0.8262,2
2,90,1510,2038,1503,25.8,24.3,0.794,1
1.6,69,1664,2238,1775,23.8,29.5,0.8559,1
0.8,74,1361,1932,1505,22,34.8,0.908,0
0.6,102,1100,1659,1211,20.2,37.4,0.8748,0
0.4,128,907,1466,872,19.3,38.8,0.8559,0
0.7,130,890,1467,855,17.9,43.7,0.8856,0
1.3,120,979,1593,1170,17.2,47.9,0.9334,1
3.4,113,839,1467,1024,16.3,49.7,0.916,2
4.7,100,675,1337,841,16.7,46.5,0.8755,2
3.4,70,642,1325,760,14.6,53,0.8775,2
2.5,83,608,1314,803,14.1,53.9,0.8633,2
2,81,646,1321,793,14.2,52.2,0.8413,1
1.9,69,757,1418,906,14.3,55.4,0.9003,1
1.7,48,1368,2119,1541,14,58,0.9202,1
1.4,28,1576,2417,1861,15.4,53.3,0.9289,1
1.5,47,1354,2030,1895,19.1,42.1,0.9233,1
2.4,88,1247,1887,1684,23.7,31,0.8968,2
3.9,109,1350,1947,1731,26.9,25.7,0.8942,2
4.2,113,1299,1838,1402,29.7,20.6,0.8478,2
3.7,104,1265,1835,1246,29.2,21.5,0.8573,2
3.2,65,1312,1865,1342,29.6,20.1,0.8181,2
2,87,1438,1953,1489,30,19.4,0.81,1
1.1,99,1449,1985,1532,29.5,20.1,0.8136,1
1.5,100,1566,2228,1909,27,26.8,0.9403,1
1.3,105,1483,2087,1757,24.9,30.8,0.954,1
1,97,1608,2335,1983,23.1,36.7,1.0244,0
0.6,54,1319,1975,1703,21.5,40.8,1.0333,0
0.4,59,1010,1619,1246,20.5,41.5,0.9864,0
0.6,109,1083,1687,1321,19.2,44.9,0.9875,0
1.9,125,1043,1659,1375,18.8,47.7,1.0221,1
4.5,132,1098,1729,1456,18.2,49.7,1.0284,2
4.3,110,1097,1763,1442,16.1,57.4,1.0451,2
3.2,53,938,1597,1243,16.3,55.3,1.0178,2
1.3,61,802,1481,1078,15.7,53.6,0.9483,1
2.2,41,700,1430,939,16.9,49.8,0.9514,2
2.6,22,697,1403,937,14.8,57.7,0.9644,2
2.3,28,800,1483,1019,14,59.7,0.9499,2
2.4,41,979,1639,1140,14.6,56.8,0.9385,2
2.6,54,1147,1838,1351,16.7,51.9,0.9788,2
1.2,81,1169,1874,1459,20,45,1.039,1
1.6,107,1059,1727,1297,23.9,33.7,0.9837,1
3.9,124,1130,1808,1291,26.8,29.5,1.0209,2
4.7,123,1136,1840,1296,27.2,32.4,1.1493,2
5.4,120,929,1623,972,26.9,32.1,1.1217,2
3,113,1016,1766,1194,24.3,41.8,1.2561,2
0.9,114,938,1610,880,25.6,36,1.1629,0
1.1,120,1003,1691,909,27,31.8,1.1176,1
0.7,125,973,1634,839,27.5,31.6,1.1417,0
0.5,88,1171,1899,1248,24.9,38.1,1.1838,0
0.5,72,1280,1970,1476,23.4,39.7,1.1276,0
0.5,103,1203,1863,1502,21.2,50.8,1.2631,0
0.8,67,850,1584,873,15.6,73.5,1.2953,0
1.3,79,650,1404,528,12.9,79.7,1.1774,1
3.5,89,667,1365,492,11.5,76.9,1.0436,2
3.9,67,661,1321,463,12.2,66.8,0.9455,2
2.9,83,707,1359,494,12.4,64.1,0.9209,2
2.6,76,689,1317,503,12.7,58.7,0.8605,2
3,58,737,1363,581,12.6,58.6,0.8529,2
3.7,30,521,1121,350,12.5,51.2,0.7374,2
3.9,22,471,1098,305,12.5,50.9,0.7346,2
3.5,50,505,1148,329,12.8,49.3,0.7285,2
2.4,92,535,1184,375,13.5,48.6,0.7487,2
1.6,101,553,1180,373,14.4,45.9,0.7476,1
3,121,603,1206,385,15.1,43.9,0.7487,2
1.6,130,621,1216,403,16.6,38.6,0.7236,1
2.1,114,635,1193,393,17.2,35,0.6789,2
1.8,100,636,1185,388,17.4,33.9,0.6683,1
1.1,56,596,1145,371,17.9,30.7,0.6234,1
1.5,75,584,1104,347,18.3,27.2,0.5675,1
1.4,121,675,1181,396,19.4,25.7,0.5738,1
0.9,128,739,1219,474,20.2,24.1,0.563,0
0.5,139,748,1219,505,19.6,24.9,0.5625,0
0.4,122,811,1344,625,18.5,27.8,0.5843,0
0.6,92,1039,1550,941,17.8,30.3,0.6129,0
1.3,97,907,1419,893,16.6,34,0.6353,1
2.9,98,769,1310,731,15.5,37,0.6447,2
3.6,93,1083,1654,955,14.8,39.5,0.6595,2
3.4,65,858,1379,761,14.5,42,0.6896,2
2.5,81,703,1283,515,14.1,44.9,0.7206,2
2.1,102,601,1220,434,14.2,45.5,0.7333,2
1.1,91,527,1152,369,14.1,45.3,0.7247,1
1.8,56,477,1115,335,14,44.3,0.7038,1
3,41,454,1091,319,14.1,43,0.689,2
3.1,48,521,1158,378,13.9,43.9,0.6923,2
3.6,72,676,1307,517,14,43.8,0.6959,2
3.3,106,880,1464,786,14.4,43.6,0.7113,2
1.8,107,934,1490,844,15,41.7,0.7093,1
2.1,127,780,1343,720,16.3,38.4,0.7052,2
2.2,114,782,1328,668,18.3,32.3,0.676,2
1.6,101,772,1311,605,18.8,31.7,0.6821,1
0.9,95,837,1413,646,19.6,30.9,0.6968,0
1.8,110,851,1436,640,20.2,30.7,0.7176,1
2.3,101,785,1365,571,19.7,32.5,0.7396,2
2,106,810,1395,605,20.7,31.6,0.7602,1
0.9,116,832,1410,636,20,32.7,0.7545,0
0.6,124,1003,1625,886,18.6,35.4,0.7535,0
0.7,133,1114,1685,1032,18.3,35.9,0.7501,0
1.5,96,1068,1616,977,17.8,37.5,0.7568,1
3.7,85,950,1496,924,17.3,38.8,0.7584,2
4.2,97,842,1441,846,17.3,38.8,0.7596,2
3.4,97,778,1359,755,16.4,40.8,0.7542,2
2.4,101,709,1318,610,16,41.4,0.7487,2
1.3,85,601,1225,439,15.4,43,0.7482,1
1.5,80,560,1197,402,15.7,42.5,0.7539,1
2.2,33,557,1212,406,15.6,43.4,0.7651,2
1.8,117,545,1224,424,15.2,45.8,0.7864,1
1.9,107,617,1302,558,14.7,49.9,0.828,1
2.3,95,670,1339,746,15.5,47.3,0.8282,2
3.6,93,935,1593,1126,14.4,53.1,0.8677,2
4.3,104,1389,2101,1703,15.9,48.5,0.8704,2
2.2,102,1398,2050,1628,18.1,40.3,0.8294,2
1.5,109,896,1487,936,19.6,35.9,0.81,1
2,97,908,1455,890,22.8,29.1,0.796,1
2,104,931,1474,757,24.8,25.3,0.7793,1
2.1,124,1137,1651,949,27.2,22,0.7785,2
1.5,135,1238,1779,1109,28.2,20.4,0.7677,1
2.2,122,1048,1560,870,25.4,24.2,0.7733,2
0.5,109,1142,1651,1011,25.7,23.8,0.7737,0
4.4,95,1066,1592,885,27.2,22.1,0.7811,2
2.5,86,1164,1689,1015,27,22.3,0.786,2
2.1,78,1231,1798,1155,24.5,27.8,0.8433,2
2.4,53,1341,1955,1315,23.7,30.2,0.8718,2
2.2,43,1266,1849,1359,21.5,34.5,0.8746,2
2.2,53,1066,1651,1194,19.9,37.8,0.8675,2
2.3,48,932,1511,951,18.9,40.6,0.8771,2
2.1,64,1012,1608,1054,17.9,43.5,0.884,2
2.5,95,899,1504,980,17.4,46.3,0.9112,2
3.6,120,735,1396,898,18.1,44.7,0.9186,2
4,153,639,1359,803,16.5,50.1,0.9331,2
3,163,632,1347,684,14.2,56.9,0.9141,2
2.1,119,602,1321,644,14.7,56.2,0.9341,2
1.7,96,619,1345,677,16.3,52.8,0.9722,1
1.1,94,880,1539,996,13.9,60.7,0.9597,1
0.9,86,1560,2396,1736,15,58.3,0.9876,0
0.4,91,1351,2112,1692,16.1,54.8,0.996,0
0.2,97,1423,2155,2108,19.3,46.4,1.0248,0
0.2,125,1252,1903,1807,24.2,33.8,1.0097,0
0.6,140,1205,1850,1566,26.7,28.7,0.9895,0
1.4,158,1123,1741,1293,27.4,28.2,1.0098,1
4.6,159,1170,1787,1219,28.1,26.9,1.0094,2
5.5,128,1348,1969,1330,27.7,26.5,0.9693,2
4.8,114,1318,1890,1299,28.4,23.4,0.8935,2
4.5,100,1185,1750,1111,28.4,26,0.9922,2
3,88,1292,1878,1300,27.3,30,1.0752,2
2.5,67,1525,2226,1653,24.3,37.3,1.1199,2
2.3,65,1510,2252,1716,23.1,42.2,1.1746,2
2,47,1426,2117,1720,21.8,43.6,1.1226,1
1.9,57,1088,1740,1339,19.8,46.8,1.0702,1
1.9,73,923,1575,1166,19.6,49.8,1.1221,1
3.5,95,960,1662,1256,17.9,56.2,1.142,2
4.6,110,891,1574,1125,17.4,55.6,1.0963,2
6.3,121,772,1495,968,16.8,59.5,1.1269,2
5,108,639,1409,814,15.9,60.1,1.0806,2
3.3,125,608,1386,743,15.6,61.2,1.0784,2
2.7,117,617,1382,758,14.6,63.4,1.0446,2
2.2,131,734,1470,861,13.3,67,1.0203,2
1.7,126,956,1620,1047,12.9,66.5,0.9846,1
0.8,114,1547,2405,1665,14.8,61.3,1.0237,0
0.8,123,1690,2572,1982,16.1,56.5,1.0274,0
0.6,116,1241,1886,1711,18.6,47.8,1.0143,0
0.8,107,1009,1583,1204,23.8,30.2,0.8771,0
1.5,123,941,1491,871,25.4,25,0.7966,1
4.1,112,1128,1716,1040,25.6,25.5,0.8234,2
5.9,101,1360,2037,1439,24.9,29.9,0.9325,2
5.1,91,1321,2023,1516,22.4,37.9,1.016,2
3.9,88,1379,2151,1693,21.7,44,1.1242,2
3.4,96,1331,2069,1635,21.4,44.4,1.1176,2
3.3,75,1424,2176,1688,20.8,45.3,1.1016,2
5.1,47,1519,2312,1820,20.2,48.6,1.1354,2
3.1,25,1610,2488,2006,20.2,50.8,1.1924,2
2.5,49,1275,2046,1740,18.6,57.6,1.2233,2
2.4,85,1189,1931,1577,18.2,58.8,1.2173,2
2.8,106,1106,1856,1443,17.8,61,1.2352,2
2.9,136,1104,1876,1411,17,70.7,1.3554,2
3.4,119,1019,1823,1217,16.2,76.9,1.4051,2
2.2,122,884,1696,1086,15.7,78.6,1.3943,2
1.6,90,809,1628,1050,15.7,78.4,1.3917,1
1.3,97,761,1598,965,15.7,77.4,1.3683,1
1.3,98,711,1554,906,15.4,78.5,1.3635,1
1.6,93,738,1563,917,15.7,74.7,1.3194,1
1.2,98,949,1771,1116,15.9,73.1,1.3136,1
0.6,123,1249,2033,1380,16.6,68.2,1.2737,0
0.4,148,1295,2065,1378,18.7,57.6,1.2323,0
0.4,148,1199,1970,1365,17.6,65,1.2945,0
1,133,1072,1833,1273,16.3,73.2,1.3458,0
2,141,1082,1889,1242,16,78.5,1.4209,1
3.6,131,1145,1973,1294,17.3,72.4,1.4125,2
2.4,121,1222,2061,1413,19.4,60.9,1.3545,2
2.4,123,1160,1939,1224,21.4,50.9,1.2823,2
1.6,107,1201,1971,1318,22.7,45.8,1.2465,1
1.9,104,1239,2139,1404,20.9,60.8,1.4852,1
2.4,91,1274,2133,1471,21,54.3,1.3353,2
1.7,87,1324,2162,1623,20.8,54.4,1.3194,1
2.1,102,1476,2356,1786,19.8,58.6,1.3392,2
3.1,95,1282,2100,1569,19.1,61.1,1.3345,2
4.6,140,1152,1951,1495,18.2,65.4,1.3529,2
4.5,138,1136,1927,1471,18.1,66.1,1.3579,2
3.9,113,1107,1872,1384,17.7,66.9,1.3422,2
4.6,101,1155,1936,1789,17.8,66.8,1.346,2
3.3,97,951,1724,1323,17.3,68.3,1.3346,2
2.7,114,833,1647,1081,16.5,70.2,1.3099,2
3.3,110,825,1629,938,15.7,73.1,1.2902,2
2.5,103,685,1492,673,16.2,69.9,1.2756,2
2.1,119,624,1434,543,16.7,67.1,1.2619,2
1.3,126,659,1452,561,16.7,66.9,1.2631,1
1,144,833,1632,862,16.9,66.5,1.2688,0
1.2,164,836,1615,901,17.7,62,1.2458,1
1.5,148,932,1693,1048,19.4,54.6,1.2184,1
3.7,119,931,1652,971,21.6,46.1,1.1725,2
3.3,111,946,1657,915,24.6,36.7,1.1202,2
2.5,115,948,1632,891,26,31.9,1.0566,2
1.9,103,816,1489,628,25.6,31.5,1.0184,1
2,81,835,1495,556,24.8,34.8,1.0716,1
2.5,71,948,1584,652,26.1,30.3,1.0101,2
2.1,58,911,1603,683,25.5,33.5,1.0767,2
2.1,44,910,1598,624,23.7,37.2,1.0746,2
2.3,49,1013,1676,733,22.3,38.9,1.0324,2
3,68,1140,1780,1062,20.7,42.8,1.0298,2
4.1,108,1006,1674,988,19,51.7,1.1222,2
4.5,117,954,1656,871,17.8,55.5,1.1174,2
3.5,127,1144,1851,1243,17.4,57.6,1.1342,2
2.1,93,1094,1769,1175,17.6,58.5,1.1645,2
2.3,94,914,1599,1126,17.2,59.3,1.1551,2
1.9,87,894,1646,1118,17.1,60.4,1.1633,1
1.9,75,789,1536,864,16.4,62.2,1.1507,1
1.2,81,838,1580,942,14.8,67.6,1.1352,1
1,86,670,1460,684,14.8,65.8,1.1028,0
1.1,97,628,1426,689,14.7,65.2,1.0811,1
0.5,117,689,1456,767,13.1,70.2,1.0554,0
0.6,120,751,1518,817,14.3,66.2,1.0728,0
1.4,149,806,1568,940,16,61.6,1.1083,1
2.6,124,851,1595,908,17.7,56.4,1.1342,2
2.8,97,918,1639,871,21.3,44.7,1.1157,2
2.6,112,816,1531,689,23.6,36.4,1.0431,2
1.6,95,821,1510,629,24.3,34,1.0149,1
1.7,88,754,1436,602,24.4,32.7,0.9863,1
1.7,54,847,1519,617,24.6,31.7,0.9647,1
1.3,43,859,1538,677,23.9,34.3,1.002,1
1.4,45,790,1443,580,25.9,28.1,0.9258,1
1.4,47,957,1637,861,24.5,32.3,0.9815,1
1.7,58,1047,1721,1080,22.6,39.3,1.06,1
2.3,69,1111,1853,1288,21.2,47.5,1.1828,2
2.5,89,1003,1753,1163,19.9,54.9,1.2632,2
3.3,105,966,1691,1043,19.4,52.1,1.1642,2
2.2,92,985,1607,1045,19.4,42.6,0.9485,2
1.6,82,910,1548,929,19.1,44.1,0.966,1
2.6,56,861,1534,825,18,49.3,1.0086,2
2.3,60,654,1414,545,17.6,54.6,1.0918,2
1.5,64,598,1397,500,16.4,62.1,1.1493,1
0.9,85,564,1385,494,15.6,65.3,1.1484,0
0.8,107,547,1351,505,16,61.4,1.1043,0
0.4,106,697,1516,717,15.8,64.3,1.1416,0
0.4,125,906,1687,1126,16,65.8,1.1844,0
0.8,118,1328,2193,1597,16.8,62.5,1.1869,0
0.9,95,1466,2400,1687,16.9,66.1,1.2613,0
1.6,97,1222,2054,1529,17.4,68.9,1.3557,1
2,93,1080,1755,1366,21.4,45,1.1291,1
1.6,85,1010,1623,1074,23.9,30.7,0.9002,1
1.4,67,1013,1584,940,26.8,25.2,0.8721,1
0.9,37,1008,1561,921,28.4,23.6,0.8983,0
0.9,40,977,1496,695,30.3,20.1,0.8539,0
1.2,75,1023,1580,795,30.9,19.7,0.8649,1
1.4,102,1204,1744,1079,30.2,20.5,0.8672,1
1.9,113,1392,2149,1473,26.4,34.6,1.1724,1
1.8,142,1385,2084,1493,24.9,39.4,1.2268,1
2.7,90,1279,2009,1308,23.5,43.7,1.2484,2
2.4,94,1086,1903,1189,19.3,63.1,1.4028,2
1.6,92,970,1771,1076,18.7,64.6,1.3836,1
1.4,97,780,1566,806,19.5,57.1,1.2806,1
1.4,88,842,1653,973,18.9,62.5,1.3521,1
1.4,86,789,1620,929,18.4,65.8,1.3802,1
0.9,99,692,1588,778,16.4,79.2,1.4681,0
0.5,95,599,1517,633,16.1,80,1.4562,0
0.4,105,545,1471,497,15.6,81,1.4302,0
0.5,121,546,1465,458,15.6,81,1.4216,0
1.3,125,646,1552,579,15.7,80.5,1.4236,1
2.6,122,976,1912,1003,16,80.8,1.4602,2
2,81,1379,2306,1393,16.6,78,1.4572,1
1.8,73,1358,2248,1406,16.1,79.2,1.4398,1
1.7,80,1186,1973,1308,17.7,70.8,1.4171,1
1.5,65,895,1657,863,20.3,54.8,1.2867,1
1.9,59,1062,1825,1004,21.2,49.3,1.2271,1
1.7,50,1104,1860,1023,21.5,47.9,1.2178,1
1.5,23,1059,1784,978,21.4,47.7,1.2047,1
1.7,37,1053,1814,979,20.4,54,1.2757,1
1.7,54,1082,1851,971,19.9,57.1,1.3158,1
2.4,94,828,1565,617,19.9,55.2,1.2701,2
3.1,139,1001,1764,717,19.5,55.7,1.2512,2
3.4,115,1313,2120,1220,18.3,62.8,1.3127,2
3,119,1353,2185,1296,17.2,68.3,1.3289,2
1.2,103,1319,2166,1413,16.1,75.2,1.3654,1
1.2,123,1042,1840,1093,16.6,70.8,1.3253,1
1.3,126,729,1475,586,18.5,56,1.181,1
1,106,765,1543,575,17.3,59.5,1.1667,0
0.4,127,608,1370,441,18.6,52.3,1.1121,0
0.3,105,534,1294,358,19,49.8,1.0831,0
0.2,130,541,1360,377,15.7,64.5,1.14,0
0.5,160,565,1399,437,15.5,66.9,1.1691,0
0.9,162,589,1439,468,14.7,74.1,1.2302,0
2.7,135,682,1526,580,14.6,77.1,1.2727,2
6.5,122,851,1673,805,14.5,78.3,1.2851,2
3.2,75,1271,2163,1273,15.1,76.8,1.3061,2
2.4,96,1350,2264,1452,16.4,70.8,1.3088,2
1.9,84,1265,2143,1307,16.4,72.4,1.3379,1
2.7,68,1085,1876,1102,16.3,68.6,1.2657,2
2.9,65,1083,1887,1083,17.2,62.9,1.2228,2
2,52,1134,1920,1083,17.4,61.1,1.206,1
2.3,46,1288,2116,1236,16.8,66.8,1.2691,2
1.9,54,1279,2049,1223,17.3,62.6,1.226,1
3,94,1193,1945,1175,17.5,60.8,1.2029,2
4.4,155,1022,1740,933,17.5,59.2,1.1725,2
4.7,165,978,1682,835,17.7,56.9,1.1392,2
3.4,134,1136,1870,1291,17.1,61.5,1.1873,2
2.4,122,918,1661,802,17.5,63.9,1.2667,2
1.2,113,949,1733,842,15.9,70.7,1.2672,1
1.7,115,854,1637,744,15.1,75.1,1.2799,1
1.2,118,695,1438,500,13.9,72.5,1.1502,1
0.7,125,760,1518,560,12,79.8,1.1175,0
0.5,135,741,1468,589,12.5,75.8,1.0938,0
0.3,149,674,1416,488,12,75,1.0499,0
0.3,162,523,1310,387,12.6,72.2,1.0503,0
0.7,151,502,1292,355,12.7,71.6,1.0486,0
3.1,154,517,1294,351,13.1,67.1,1.0079,2
6.2,118,604,1357,420,13.2,64.6,0.9774,2
4.6,103,817,1546,695,13.1,65.6,0.9815,2
2.6,122,1205,1984,1139,14.7,58.5,0.9688,2
2.1,102,1304,2029,1315,15.9,53.1,0.9529,2
2,73,1191,1836,1217,17.9,46.1,0.9388,1
2.2,59,1066,1692,1014,20.2,37.7,0.8833,2
2.1,26,970,1624,884,18.5,42.8,0.9026,2
2.3,35,772,1450,524,13,64.3,0.9586,2
2.5,68,937,1581,644,15.1,54.5,0.9309,2
3.4,97,1119,1831,1032,13.6,65.5,1.0184,2
4.3,146,1074,1816,1038,12.3,78.3,1.1154,2
3.8,83,1136,1869,1077,12.7,74.2,1.0863,2
3.8,117,1063,1728,983,14.4,64.2,1.049,2
2,117,954,1626,834,15.6,58.3,1.0266,1
1.7,108,1015,1722,949,15,61.4,1.0385,1
2,107,935,1605,941,13.7,65.8,1.0254,1
1.5,120,841,1497,756,12.3,66.4,0.944,1
0.8,150,705,1422,655,15.4,58.8,1.0215,0
0.5,138,871,1586,805,14.1,64.9,1.0405,0
0.3,148,907,1579,970,13.8,64.7,1.0168,0
0.3,168,878,1568,969,13.5,67.8,1.042,0
0.9,172,669,1427,671,13.7,69.4,1.0794,0
2.8,179,616,1384,575,13.9,67.7,1.0712,2
5.4,143,602,1386,535,14,67.8,1.0787,2
4,137,639,1364,489,14.6,61.1,1.0075,2
2.2,117,880,1590,689,14.3,60.5,0.9847,2
2.2,93,1290,2014,1196,14.9,56.9,0.9582,2
2,64,1355,2095,1266,16.4,50.2,0.9286,1
2,58,1148,1824,1130,16,50.9,0.9211,1
1.9,47,952,1582,834,18.6,42.8,0.9091,1
2.7,47,825,1405,536,19.7,33.7,0.7646,2
2.2,62,906,1418,545,21.2,27.7,0.6864,2
3.5,113,1010,1526,720,19.7,28.5,0.6445,2
4.1,126,950,1460,655,19.8,29.7,0.678,2
4.4,139,914,1481,614,19.2,35.6,0.7856,2
4.5,148,956,1600,725,14.2,60.5,0.9765,2
2.9,117,1238,1948,1036,12.9,69.1,1.0249,2
2.6,106,1222,1911,1127,12.7,70.4,1.0294,2
2.1,98,995,1642,854,13.9,62.7,0.9905,2
1.2,98,879,1527,792,13.9,62.9,0.9948,1
0.6,110,898,1595,891,13.4,65.2,0.9996,0
0.3,114,887,1568,876,13.4,64.6,0.9864,0
0.3,122,869,1531,851,13.3,63.6,0.9677,0
0.3,155,829,1516,787,13.3,61.8,0.9433,0
0.7,145,791,1446,711,13.6,59.7,0.9271,0
4.2,146,546,1252,396,14.6,53.3,0.8807,2
4.8,130,547,1239,375,14.3,51.7,0.8412,2
3.4,126,518,1202,343,10.9,67.5,0.8785,2
2.8,127,557,1257,401,7.4,85.2,0.8808,2
1.8,126,628,1329,518,8.7,81.5,0.919,1
1.9,124,808,1479,685,10.3,75.6,0.9458,1
2,93,918,1589,939,11,75,0.9821,1
1.9,58,885,1588,974,13.6,66.1,1.0236,1
2,59,852,1575,959,14.7,63.1,1.0488,1
2.3,66,982,1739,1067,13.8,72.3,1.1361,2
2.7,80,1018,1778,1061,13.3,76.8,1.1703,2
3.6,94,949,1671,1008,16.2,60,1.0937,2
3.8,102,726,1432,637,16.3,55.3,1.0146,2
3.5,96,833,1489,647,20,40.4,0.9354,2
2.5,91,786,1375,523,19.8,35.4,0.8099,2
2.5,104,863,1408,539,19.8,33.6,0.767,2
3,84,961,1502,649,17.8,38.5,0.7763,2
3.7,76,1209,1829,1071,16.7,44.6,0.8393,2
3.3,87,1161,1802,1237,15.1,51.8,0.8816,2
1.5,101,976,1603,1018,14.1,56.2,0.9028,1
0.7,115,952,1573,966,13.8,58.3,0.9147,0
0.5,110,853,1457,901,13.7,59.7,0.9285,0
0.5,103,859,1519,949,13.7,60.3,0.9405,0
1.2,90,938,1575,1057,12.7,64.9,0.9506,1
2.2,68,913,1601,989,12.6,65.4,0.9529,2
2.2,85,928,1619,1005,12.1,68.6,0.964,2
2.1,100,914,1605,1003,12.3,68,0.9722,2
1.8,114,902,1558,1087,11.9,71.1,0.9899,1
2.2,108,774,1460,909,11.3,73.8,0.9848,2
2,78,737,1414,882,13.1,62.6,0.9419,1
1.4,55,625,1303,568,16.8,46.8,0.8881,1
1.8,37,752,1434,620,17.9,44.8,0.9104,1
2.1,53,737,1450,686,17.8,49.5,0.9986,2
2.8,79,761,1476,700,18.8,46.4,0.9968,2
2.8,65,804,1502,780,19.3,44,0.9783,2
2.7,64,718,1492,558,14.7,68.4,1.1405,2
1.8,66,755,1521,608,15.6,65.8,1.1577,1
1.2,53,859,1595,754,17.7,54,1.0826,1
2.6,69,753,1420,544,17.8,46.7,0.9466,2
3.1,57,785,1446,550,17.8,44.4,0.8967,2
4.1,36,827,1465,627,17.8,44.3,0.8929,2
3.6,57,981,1614,877,16.4,47.8,0.8851,2
1.9,73,985,1625,981,15.6,51.6,0.9063,1
1.9,81,917,1570,832,14.9,55,0.9228,1
0.3,91,937,1606,941,13.8,59.8,0.9398,0
0.4,65,933,1600,1022,13.8,62.1,0.9721,0
0.8,56,835,1501,888,13.9,61.1,0.9656,0
0.8,69,654,1375,683,14.9,57.6,0.9684,0
0.8,73,569,1344,534,14.4,60.1,0.9797,0
0.8,76,531,1318,489,13.8,63.2,0.9952,0
0.9,67,570,1357,562,14.2,62.9,1.0136,0
1.2,44,625,1385,652,14,63.8,1.0167,1
1,21,970,1705,1019,13.4,67.4,1.0292,0
0.8,19,1587,2459,1678,14.7,62.3,1.0351,0
1.1,29,1668,2617,1749,16,57.3,1.0342,1
1.5,69,1303,2051,1494,17.8,51.1,1.0362,1
1.5,111,1096,1808,1186,20,45,1.0379,1
1.4,81,1040,1748,1051,20.3,44.1,1.0392,1
1.1,56,1097,1797,1027,20.7,42.4,1.0248,1
0.9,90,1080,1758,981,20.8,40.6,0.9888,0
1,85,1096,1767,976,21.5,39.7,1.0042,0
1.1,83,1108,1731,932,25,30.1,0.9394,1
1,85,1124,1716,871,25.2,29.7,0.9371,0
0.7,85,1234,1824,990,23.4,32,0.91,0
0.5,81,1352,1961,1196,21,37.8,0.9298,0
0.2,92,1413,2050,1329,19.2,45.7,1.0084,0
0.1,108,1189,1824,1151,17.7,50.9,1.0232,0
0.5,106,1063,1703,1031,16.8,53.6,1.0167,0
1.6,114,963,1621,917,15.8,56.2,1.0033,1
2,96,830,1521,860,16,56.5,1.0166,1
1.3,77,812,1518,910,14.2,64.1,1.0346,1
1,73,637,1362,699,15,59.8,1.0142,0
0.9,86,549,1317,596,14.3,61.9,1.0031,0
1.2,84,555,1320,643,12.8,66,0.969,1
1.3,56,571,1335,704,11.4,70.5,0.9484,1
1.1,31,686,1405,741,12,68,0.9547,1
1.2,30,917,1606,968,11.3,70.4,0.9443,1
1.4,51,1491,2301,1561,12.7,65.6,0.962,1
2,45,1575,2423,1779,14.5,59.8,0.9795,1
2.4,82,1455,2182,1822,17.5,49.8,0.9877,2
2.1,100,1368,2032,1675,21.9,35.2,0.9128,2
1.2,91,1248,1891,1295,23.5,29.5,0.8435,1
0.7,130,1115,1735,1091,24.3,29.8,0.8926,0
0.7,155,1129,1728,1023,23.8,31.7,0.9212,0
